id,track_name,artists,album_name,external_url,preview_url,release_date
2adWXRegCboef5ZOjW3ffe,Coming of age ceremony,parkjiyoon,Coming of age ceremony,https://open.spotify.com/track/2adWXRegCboef5ZOjW3ffe,,2000-07-26
1c8N865GdfUkCkI87pin5T,More Than Anything,Lamar Campbell & Spirit Of Praise,When I Think About You,https://open.spotify.com/track/1c8N865GdfUkCkI87pin5T,,2000-01-01
5TamOh6vFWof4dpKcIZvLt,Esperando Su Llamada,Emilio Navaira,El Rey Del Rodeo,https://open.spotify.com/track/5TamOh6vFWof4dpKcIZvLt,,2000
1JXbiNdyUxrarBemQfAqYJ,Tu Derrota,Grupo Laberinto,Frente A Frente,https://open.spotify.com/track/1JXbiNdyUxrarBemQfAqYJ,,2000-01-01
3jYNZPZA5qZHSdSAxBdn5q,Violence Fetish,Disturbed,The Sickness,https://open.spotify.com/track/3jYNZPZA5qZHSdSAxBdn5q,,2000-03-07
5rIr1MOh4cWwpdln1QqTPS,Here We Go Again! - Radio Edit,Portrait,Greatest Hits,https://open.spotify.com/track/5rIr1MOh4cWwpdln1QqTPS,,2000-01-01
3JdtnzG1qxSugpXwNuoo9v,Drag You Down,Finger Eleven,The Greyest Of Blue Skies,https://open.spotify.com/track/3JdtnzG1qxSugpXwNuoo9v,,2000-01-01
5uyDA5kB1J3CDJgk0Rwfap,A mi manera - 2000 Remastered Version,Raphael,Yo soy aquél (Sus éxitos remasterizados),https://open.spotify.com/track/5uyDA5kB1J3CDJgk0Rwfap,,2000-08-17
3ZdA3QuqHqOJdsczRwT1hg,One Voice,Billy Gilman,One Voice,https://open.spotify.com/track/3ZdA3QuqHqOJdsczRwT1hg,,2000-06-14
6NldY5aZigWeeGIMY41qG6,Fiction - Dreams in Digital,Orgy,Vapor Transmission,https://open.spotify.com/track/6NldY5aZigWeeGIMY41qG6,,2000-09-29
49K5azCmY65Ha5IuUaO678,Reelin' In The Years,Steely Dan,Showbiz Kids: The Steely Dan Story 1972 - 1980,https://open.spotify.com/track/49K5azCmY65Ha5IuUaO678,,2000-01-01
1OdavDKvGA15nLfSRqAIpp,Hellbound,Pantera,Reinventing the Steel,https://open.spotify.com/track/1OdavDKvGA15nLfSRqAIpp,,2000-01-01
5FX8KqBY74jLl0BBTSNl2N,As We Lay,Kelly Price,Mirror Mirror,https://open.spotify.com/track/5FX8KqBY74jLl0BBTSNl2N,,2000-01-01
2Qz6fXjy6tIDrvOcSoOjdD,I Will Be Here,Gary Valenciano,Revive,https://open.spotify.com/track/2Qz6fXjy6tIDrvOcSoOjdD,,2000
40jxxlPvRrvPLPyAb22bSu,Black Friday Rule,Flogging Molly,Swagger,https://open.spotify.com/track/40jxxlPvRrvPLPyAb22bSu,,2000-03-07
5BxeyZpeEHaFzlhefhWkqd,Jealous Again,The Black Crowes,Greatest Hits 1990-1999: A Tribute To A Work In Progress...,https://open.spotify.com/track/5BxeyZpeEHaFzlhefhWkqd,,2000-01-01
3Zo6R22retEhAnQBbam5As,"Sunrise, Sunset",Bright Eyes,Fevers And Mirrors,https://open.spotify.com/track/3Zo6R22retEhAnQBbam5As,,2000-05-29
01CqXno5gFdZEQqhAPp3eq,Lord I Lift Your Name On High,Donnie McClurkin,Live in London and More ..,https://open.spotify.com/track/01CqXno5gFdZEQqhAPp3eq,,2000-08-21
2Hx56CKZM6T3ueCP5XSGrm,Renholdër,A Perfect Circle,Mer De Noms,https://open.spotify.com/track/2Hx56CKZM6T3ueCP5XSGrm,,2000-01-01
3gGKOVwsAVvwt9BcH3k18J,Three O'Clock Blues,Eric Clapton,Riding with the King,https://open.spotify.com/track/3gGKOVwsAVvwt9BcH3k18J,,2000-06-13
3jLcwFns5S9OYQojN8XAkJ,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",Antonín Dvořák,"Dvořák: Symphony No. 9 ""From the New World"" (Live)",https://open.spotify.com/track/3jLcwFns5S9OYQojN8XAkJ,,2000-01-01
03NIra3KSLDgnqgIiQJNow,Shit On You,D12,Shit On You,https://open.spotify.com/track/03NIra3KSLDgnqgIiQJNow,,2000-01-01
3owKZYdWWzNcThn3NLRkb3,Peter Gunn,Duane Eddy,Especially for You,https://open.spotify.com/track/3owKZYdWWzNcThn3NLRkb3,,1959-05-01
36grBPDg2X9tpIDJVxyqw0,Hillwood Hustlaz II,South Park Mexican,Time is Money,https://open.spotify.com/track/36grBPDg2X9tpIDJVxyqw0,,2000-12-12
24KOm6f014u1lN5hdONqCb,Indian War Whoop,John Hartford,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",https://open.spotify.com/track/24KOm6f014u1lN5hdONqCb,,2000-12-05
1ScZXVXbtc0nE5SJ23lbfI,Thomas,A Perfect Circle,Mer De Noms,https://open.spotify.com/track/1ScZXVXbtc0nE5SJ23lbfI,,2000-01-01
20VRVHMwAspwLA207PdKOn,He's Mine,MoKenStef,Love Soul,https://open.spotify.com/track/20VRVHMwAspwLA207PdKOn,,2000-01-01
0LwCtv2JW5yTl5qd91e4tL,Imagíname Sin Ti,Luis Fonsi,Eterno,https://open.spotify.com/track/0LwCtv2JW5yTl5qd91e4tL,,2000-01-01
0kHIEdWbOvnrvTmRfPtHDN,Memories Live,Reflection Eternal,Train Of Thought,https://open.spotify.com/track/0kHIEdWbOvnrvTmRfPtHDN,,2000-10-17
4oSEDFCaImn6rbwPzSZlab,Daniel - Elton John Cover,Fuel,Something Like Human,https://open.spotify.com/track/4oSEDFCaImn6rbwPzSZlab,,2000-09-19
3aCnWGT8DmlbpAV75McnZR,Chicka Chicka Boom Boom,John Archambault and David Plummer,Chicka Chicka Boom Boom and Other Coconutty Songs,https://open.spotify.com/track/3aCnWGT8DmlbpAV75McnZR,,2000
5awZBMKId8PN6ZrQh2Z3Rp,You're An Ocean,Fastball,The Harsh Light Of Day,https://open.spotify.com/track/5awZBMKId8PN6ZrQh2Z3Rp,,2000-01-01
7hUNOFpJNxK3EdryB5PqAJ,"Careful (Click, Click) (feat. RZA, U-God, Masta Killa, Cappadonna, Ghostface Killah & Inspectah Deck)",Wu-Tang Clan,The W,https://open.spotify.com/track/7hUNOFpJNxK3EdryB5PqAJ,,2000-11-20
2cYjCcAXC0Vhp26AM7f4SL,Press Gang,The Murder City Devils,In Name And Blood,https://open.spotify.com/track/2cYjCcAXC0Vhp26AM7f4SL,,2000-06-06
4y8G3pyyBvBKd47iyvHBNj,My Axe,Insane Clown Posse,Bizzar,https://open.spotify.com/track/4y8G3pyyBvBKd47iyvHBNj,,2000-01-01
0P6MfJyIKSLd1PvzQy2w2e,1-900-Hustler,JAY-Z,The Dynasty: Roc La Familia,https://open.spotify.com/track/0P6MfJyIKSLd1PvzQy2w2e,,2000-10-31
00suglGfe7WNFpS1YyCTt6,"Gortoz A Ran - From ""Black Hawk Down""",Denez Prigent,Irvi,https://open.spotify.com/track/00suglGfe7WNFpS1YyCTt6,,2000-01-01
1r6Xp7EiQQ7F63HjbFHNJn,Key to the Highway,Eric Clapton,Riding with the King,https://open.spotify.com/track/1r6Xp7EiQQ7F63HjbFHNJn,,2000-06-13
2fwhPYJviq6R9qGZs5vTFQ,Car Wash,Rose Royce,Love Funk,https://open.spotify.com/track/2fwhPYJviq6R9qGZs5vTFQ,,2000-05-02
0MxKHJEhhFOJsvYak4Q5Bu,Bringin' Da Noise,*NSYNC,No Strings Attached,https://open.spotify.com/track/0MxKHJEhhFOJsvYak4Q5Bu,,2000-03-21
3TSjvofuOdFlXtW2Mba0yV,Mi Linda Esposa,Los Invasores De Nuevo León,Boleros 20° Aniversario,https://open.spotify.com/track/3TSjvofuOdFlXtW2Mba0yV,,2000-01-01
0rXCeTgjXDJOwWnPA591Tt,Hello in There,John Prine,Souvenirs,https://open.spotify.com/track/0rXCeTgjXDJOwWnPA591Tt,,2000-10-31
7yn7rpRvg6XCq10B94etIp,Black Night,Deep Purple,The Very Best of Deep Purple,https://open.spotify.com/track/7yn7rpRvg6XCq10B94etIp,,2000-05-09
0iqUHPYSODJxsCfUDuPtm5,City Of Syrup,Big Moe,City Of Syrup,https://open.spotify.com/track/0iqUHPYSODJxsCfUDuPtm5,,2000-07-25
0l4s9ze0CrQfOiE8jaMs1H,Out Of The Woods,Nickel Creek,Nickel Creek,https://open.spotify.com/track/0l4s9ze0CrQfOiE8jaMs1H,,2000
1XAzFYJR94m9T4AgshhO99,So Flute,St Germain,Tourist (Remastered),https://open.spotify.com/track/1XAzFYJR94m9T4AgshhO99,,2000
3UEWtvTL3mE797dNOv8Rzw,Things Have Changed - Single Version,Bob Dylan,Wonder Boys - Music From The Motion Picture,https://open.spotify.com/track/3UEWtvTL3mE797dNOv8Rzw,,2000-02-02
099F8DBwudywg5KK6WVFox,Nothing To Gein,Mudvayne,L.D. 50,https://open.spotify.com/track/099F8DBwudywg5KK6WVFox,,2000-08-13
42WCGd8b9J771EyHBxpxwP,Exactly Where I'm At,Ween,White Pepper,https://open.spotify.com/track/42WCGd8b9J771EyHBxpxwP,,2000-05-02
4gd9sHUPgvFpQz70Oj4bwe,"Blood, Sex and Booze",Green Day,Warning,https://open.spotify.com/track/4gd9sHUPgvFpQz70Oj4bwe,,2000-10-03
4OeQKOUwR6vMNy7WZChltZ,Remember the Mountain Bed,Billy Bragg,Mermaid Avenue Vol. II,https://open.spotify.com/track/4OeQKOUwR6vMNy7WZChltZ,,2000
2Nt0KxMdXtpwUiiiIFp2Cq,Auto Pilot,Queens of the Stone Age,Rated R,https://open.spotify.com/track/2Nt0KxMdXtpwUiiiIFp2Cq,,2000-06-06
7B8IvJclv9W7LcINxYSFR5,Young At Heart - Remastered 2000,Frank Sinatra,Classic Sinatra - His Great Performances 1953-1960,https://open.spotify.com/track/7B8IvJclv9W7LcINxYSFR5,,2000-01-01
1a6Hkf3ag1J9wm6OM0lz1N,432Hz Miracle Tone With 528Hz Solfeggio Frequency,PowerThoughts Meditation Club,432Hz Miracle Tone: Raise Positive Vibrations - Healing Frequency (Positive Energy Boost),https://open.spotify.com/track/1a6Hkf3ag1J9wm6OM0lz1N,,2000
2PYJnUWEPPP8C6b79UiwIl,Ven Conmigo (Solamente Tú),Christina Aguilera,Mi Reflejo,https://open.spotify.com/track/2PYJnUWEPPP8C6b79UiwIl,,2000
5O3XZbXoPs3KD87OH3sO31,Down to the Sea,Jodi Benson,The Little Mermaid 2,https://open.spotify.com/track/5O3XZbXoPs3KD87OH3sO31,,2000-01-01
6DTSCjeK32PYp1Sap27vvY,Beautiful World,Rage Against The Machine,Renegades,https://open.spotify.com/track/6DTSCjeK32PYp1Sap27vvY,,2000-12-05
4zwzfzX5nXgD5Ro2tXIxhf,I'll Cast a Shadow,Pantera,Reinventing the Steel,https://open.spotify.com/track/4zwzfzX5nXgD5Ro2tXIxhf,,2000-01-01
4NiNF2TgroCObAR1iYX1MR,Hablando Claro,El Coyote Y Su Banda Tierra Santa,Te Soñé,https://open.spotify.com/track/4NiNF2TgroCObAR1iYX1MR,,2000-01-01
6nAkDgnYiBWK7cwGXdAMZ4,Sin Tu Amor,Grupo Yndio,Serie Sensacional Regional Mexican Yndio,https://open.spotify.com/track/6nAkDgnYiBWK7cwGXdAMZ4,,2000-10-17
04Glred2wGdSNH11Qh4EDe,This Is Love,PJ Harvey,"Stories From The City, Stories From The Sea",https://open.spotify.com/track/04Glred2wGdSNH11Qh4EDe,,2000-01-01
0TRM2GPcSWaZWJUr4cMDin,El Cachanilla,El Coyote Y Su Banda Tierra Santa,Te Soñé,https://open.spotify.com/track/0TRM2GPcSWaZWJUr4cMDin,,2000-01-01
4h9GuOsZdhe4w5TPMQHNWQ,So I Need You,3 Doors Down,The Better Life,https://open.spotify.com/track/4h9GuOsZdhe4w5TPMQHNWQ,,2000
1lyouvzXgNG40YtpDaSF6d,Cómo Te Llamas Paloma,Jaime Y Los Chamacos,The Best of Jaime y Los Chamacos: Mi Musica Favorita,https://open.spotify.com/track/1lyouvzXgNG40YtpDaSF6d,,2000-04-25
1BaNzcWE5fAJ6Ujh1CytzN,Tornasol (Vuelves a Ser),La Gusana Ciega,La Gusana Ciega,https://open.spotify.com/track/1BaNzcWE5fAJ6Ujh1CytzN,,2000-01-01
1lHR2yz3Dl8U0fNJjpFuge,黑色幽默,Jay Chou,杰倫,https://open.spotify.com/track/1lHR2yz3Dl8U0fNJjpFuge,,2000-11-06
4BejqreqjhlN3FcR2irbKg,We're At The Top Of The World,The Juliana Theory,Emotion Is Dead,https://open.spotify.com/track/4BejqreqjhlN3FcR2irbKg,,2000-01-01
3mkO4ZYDzNMbuJQtzFHz9A,D>E>A>T>H>M>E>T>A>L,Panchiko,D>E>A>T>H>M>E>T>A>L,https://open.spotify.com/track/3mkO4ZYDzNMbuJQtzFHz9A,,2000-12-05
3nkdVXnH4xC6f3YZS0C8pC,Everything Reminds Me Of Her,Elliott Smith,Figure 8,https://open.spotify.com/track/3nkdVXnH4xC6f3YZS0C8pC,,2000-04-18
0EocUlMbfRJlO1ieFjgZGB,Right on the Tip of My Tongue,Brenda And The Tabulations,Right on the Tip of My Tongue,https://open.spotify.com/track/0EocUlMbfRJlO1ieFjgZGB,,2000-01-01
3ZRKkl06xmosJOH5zbkc5Y,Golden I,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,https://open.spotify.com/track/3ZRKkl06xmosJOH5zbkc5Y,,2000-02-11
3e0wYnFxkqinmtXebYPMSt,Yellow,Coldplay,Yellow,https://open.spotify.com/track/3e0wYnFxkqinmtXebYPMSt,,2000-06-26
6C872iuQnICFQy5Z5hIIJX,Snappin' & Trappin' (feat. Killer Mike & J-Sweet),Outkast,Stankonia,https://open.spotify.com/track/6C872iuQnICFQy5Z5hIIJX,,2000-10-31
2bAjPbUKFb5waXyAoX7hix,Si Nos Dejan,José Alfredo Jimenez,Epoca De Oro,https://open.spotify.com/track/2bAjPbUKFb5waXyAoX7hix,,2000-08-04
5nRaaCkfZUrsg3MRYOXTFU,"Hyde Park (The 'Ah, Oooh' Song)",Jeff Kashiwa,Another Door Opens,https://open.spotify.com/track/5nRaaCkfZUrsg3MRYOXTFU,,2000-08-22
6NTNGqmF2lCfu7l3CPuMLe,(I Can't Get No) Satisfaction,Cat Power,The Covers Record,https://open.spotify.com/track/6NTNGqmF2lCfu7l3CPuMLe,,2000-03-21
2u2cS7pCuDbkJ5h6gcM46i,Amor De Lejos,Lara & Reyes,World Jazz,https://open.spotify.com/track/2u2cS7pCuDbkJ5h6gcM46i,,2000-01-01
0h00uh7oGC6WYX1H8Ur7zf,Why Pt. 2,Collective Soul,Blender,https://open.spotify.com/track/0h00uh7oGC6WYX1H8Ur7zf,,2000-10-10
7h92c8JNP4bY5r8m42hKqn,Night Prowler (feat. Slug),Living Legends,Almost Famous,https://open.spotify.com/track/7h92c8JNP4bY5r8m42hKqn,,2001-10-10
0mu59f9C3CwjFdtmf0j80v,Put It On Me,Ja Rule,The Fast and The Furious,https://open.spotify.com/track/0mu59f9C3CwjFdtmf0j80v,,2001-01-01
6o1XbbvxdZC1XYfVBtXdYO,Tan Bella Y Tramposa,Los Acosta,Los Sonidos De Su Espíritu,https://open.spotify.com/track/6o1XbbvxdZC1XYfVBtXdYO,,2001-01-01
4N0XG7hGoVnUKI2kuRGN1u,Kisapmata,Rivermaya,Greatest Hits,https://open.spotify.com/track/4N0XG7hGoVnUKI2kuRGN1u,,2009-03-03
4BdKKkvIMGWN6AtqjrW9Hj,Sweet Love,112,Part III,https://open.spotify.com/track/4BdKKkvIMGWN6AtqjrW9Hj,,2001
2BJgWwgobhsv5JlJkKJClF,Aquél Montón De Cartas,Polo Urias Y Su Maquina Norteña,De Chihuahua Para Ti,https://open.spotify.com/track/2BJgWwgobhsv5JlJkKJClF,,2001-01-01
5pkODNs3tEe8DMqjorjR8c,Special Delivery,G. Dep,Child Of The Ghetto,https://open.spotify.com/track/5pkODNs3tEe8DMqjorjR8c,,2001
3rt5Q6kxIveKmxLL1hIBHh,Un Brindis Por Ti,Grupo Bryndis,En El Idioma Del Amor,https://open.spotify.com/track/3rt5Q6kxIveKmxLL1hIBHh,,2001-01-01
4OUvfa7eO5jvFMIMOU7MTb,Suntoucher,Groove Armada,Goodbye Country (Hello Nightclub),https://open.spotify.com/track/4OUvfa7eO5jvFMIMOU7MTb,,2001-07-11
2RKDbMwtJgKc76H9oPo7Cl,Boys Don't Cry,The Cure,Greatest Hits,https://open.spotify.com/track/2RKDbMwtJgKc76H9oPo7Cl,,2001-11-13
5lp8Q8OquwsDz0fHLkjpha,The System,South Park Mexican,Never Change,https://open.spotify.com/track/5lp8Q8OquwsDz0fHLkjpha,,2001-11-06
2MCBSxOnkMcVkbaLplGYjX,Great Indoors,John Mayer,Room For Squares,https://open.spotify.com/track/2MCBSxOnkMcVkbaLplGYjX,,2001-08-16
2rQDtzREtofoyhDNYk95jf,They Want EFX,Das EFX,The Very Best Of Das EFX,https://open.spotify.com/track/2rQDtzREtofoyhDNYk95jf,,2001-07-03
4Xm0G6DRlWUjCgpKh5OPyv,Have You Ever,S Club,Sunshine,https://open.spotify.com/track/4Xm0G6DRlWUjCgpKh5OPyv,,2001-11-26
0ihpozIwLtRZR34onjsTMk,I'm Destroying The World,Guttermouth,Covered With Ants,https://open.spotify.com/track/0ihpozIwLtRZR34onjsTMk,,2001-04-10
0JIPxQiFYgnPfQDuAZTnHk,"When You Wish Upon a Star - From ""Pinocchio""/Soundtrack Version",Cliff Edwards,Disney's Greatest Volume 1,https://open.spotify.com/track/0JIPxQiFYgnPfQDuAZTnHk,,2001-01-01
3oEgMtjTzGgXTFdO0IW2M7,Faaip De Oiad,TOOL,Lateralus,https://open.spotify.com/track/3oEgMtjTzGgXTFdO0IW2M7,,2001-05-15
0QXMY9Iefhyh3KRNbOwTJx,"Be Our Guest - From ""Beauty And The Beast"" Soundtrack",Angela Lansbury,Disney's Greatest Volume 2,https://open.spotify.com/track/0QXMY9Iefhyh3KRNbOwTJx,,2001-01-01
3kKzopL09gU1FLnV3OKQq2,Man Research (Clapper),Gorillaz,Gorillaz,https://open.spotify.com/track/3kKzopL09gU1FLnV3OKQq2,,2001
4EguJW77TxbT5ze7v9DRG3,"One Day I'll Fly Away - From ""Moulin Rouge"" Soundtrack",Nicole Kidman,Moulin Rouge,https://open.spotify.com/track/4EguJW77TxbT5ze7v9DRG3,,2001-01-01
3GsbGZHKjSk4PLr3HXfcoo,Running,No Doubt,Rock Steady (Expanded Edition),https://open.spotify.com/track/3GsbGZHKjSk4PLr3HXfcoo,,2001-12-11
6WjPPtUzYfZwckWmFFz9SP,El Zorro De Ojinaga,Los Tigres Del Norte,Corridos Prohibidos,https://open.spotify.com/track/6WjPPtUzYfZwckWmFFz9SP,,2001-01-01
5XjtX9V4qh0WCGnK8MWQBr,El Mala Estrella,Luis Aguilar,RCA 100 Años De Musica,https://open.spotify.com/track/5XjtX9V4qh0WCGnK8MWQBr,,2001-11-07
0KpdtlroG9CSSDD1qAwQm1,Déjenme Si Estoy Llorando,El Gran Silencio,Chúntaros Radio Poder,https://open.spotify.com/track/0KpdtlroG9CSSDD1qAwQm1,,2001-01-01
1eAZcqDmiUE57YdeElYbMd,Renegade,JAY-Z,The Blueprint,https://open.spotify.com/track/1eAZcqDmiUE57YdeElYbMd,,2001-09-11
3zIIjuvnDALIs9WNl3w3uT,New York State of Mind,Billy Joel,The Essential Billy Joel,https://open.spotify.com/track/3zIIjuvnDALIs9WNl3w3uT,,2001-10-02
7B6ikv2D6EoK1KfWvuJBLB,Everything Hits At Once,Spoon,Girls Can Tell,https://open.spotify.com/track/7B6ikv2D6EoK1KfWvuJBLB,,2001-02-20
46jNNisjr8iE3jkNtrtWFl,Landslide,The Smashing Pumpkins,(Rotten Apples) The Smashing Pumpkins Greatest Hits,https://open.spotify.com/track/46jNNisjr8iE3jkNtrtWFl,,2001-01-01
5tuPqvXQw7SJwuX78R9pB2,Who's That Lady,Peter White,Glow,https://open.spotify.com/track/5tuPqvXQw7SJwuX78R9pB2,,2001-08-29
7sfAvqH0a5bhFK6CP81nko,"So Fresh, So Clean",Outkast,The New Guy - Music From The Motion Picture,https://open.spotify.com/track/7sfAvqH0a5bhFK6CP81nko,,2001-10-22
0mc51xomEC6CZUZdB8xgQU,Pagan Poetry,Björk,Vespertine,https://open.spotify.com/track/0mc51xomEC6CZUZdB8xgQU,,2001
7urtwZEtOypb3r8HNi42dT,Duvet,bôa,Twilight,https://open.spotify.com/track/7urtwZEtOypb3r8HNi42dT,,2001
0jtoGPnkQlYHO55qsweNMD,Mr. Oysterhead,Oysterhead,The Grand Pecking Order,https://open.spotify.com/track/0jtoGPnkQlYHO55qsweNMD,,2001-10-02
1DkGOPjC2OXN7xcT31fjXN,I'm So Into You,SWV,Best Of SWV,https://open.spotify.com/track/1DkGOPjC2OXN7xcT31fjXN,,2001-11-06
3OYH2OCLzjGm9kyyTHB2ZX,Jacksonville Skyline,Whiskeytown,Pneumonia,https://open.spotify.com/track/3OYH2OCLzjGm9kyyTHB2ZX,,2001-05-22
4CeMCGrUZByXsrPUV7Qzsu,"A Little Bit Me, a Little Bit You",The Monkees,Music Box (The Monkees),https://open.spotify.com/track/4CeMCGrUZByXsrPUV7Qzsu,,2001
5gqWvtQiQcAQEDlyz857vh,El Hijo De Su,Luis y Julian,El Hijo Del Viejo,https://open.spotify.com/track/5gqWvtQiQcAQEDlyz857vh,,2001-01-01
3f7Kj9ZX3DEIdAc2UnrOKi,Breathe - Live,Michael W. Smith,Worship,https://open.spotify.com/track/3f7Kj9ZX3DEIdAc2UnrOKi,,2001
3RSIUYQxsC6lAE76ctBVku,"Mickey Mouse March - From ""The Mickey Mouse Club""",The Mouseketeers,Disney's Greatest Volume 2,https://open.spotify.com/track/3RSIUYQxsC6lAE76ctBVku,,2001-01-01
4tslkjUCCD0LQG1GBcfxHp,What I Learned out on the Road,Kid Rock,Cocky,https://open.spotify.com/track/4tslkjUCCD0LQG1GBcfxHp,,2001
4aL5x9pzbU5PTLca3oJjo3,The Quidditch Match,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,https://open.spotify.com/track/4aL5x9pzbU5PTLca3oJjo3,,2001-10-30
6zRs3FARzut2tQxwikbYZI,Down By The River,Morgan Heritage,More Teachings,https://open.spotify.com/track/6zRs3FARzut2tQxwikbYZI,,2001
1A5OCmFgp0Xb9l6fu3up10,Broadway,South Park Mexican,Never Change,https://open.spotify.com/track/1A5OCmFgp0Xb9l6fu3up10,,2001-11-06
3Hk17IYSTvZU3YU2Q7Ur01,Johnny Appleseed,Joe Strummer,Global A Go-Go,https://open.spotify.com/track/3Hk17IYSTvZU3YU2Q7Ur01,,2001-07-24
0pyKuk3bYFSzPIysym8ioN,Hogwarts Forever! and the Moving Stairs,John Williams,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,https://open.spotify.com/track/0pyKuk3bYFSzPIysym8ioN,,2001-10-30
34yIb7hw5SuR80au1BHTtt,Oh Happy Day,The Edwin Hawkins Singers,Oh Happy Day: The Best Of The Edwin Hawkins Singers,https://open.spotify.com/track/34yIb7hw5SuR80au1BHTtt,,2001-08-07
40cOtNHB7TveiK89EhEfAi,Habitual Criminal,South Park Mexican,Never Change,https://open.spotify.com/track/40cOtNHB7TveiK89EhEfAi,,2001-11-06
7yHfaJC3F613a8eCUKa9Fq,Yo Te Quiero,Marc Anthony,Libre,https://open.spotify.com/track/7yHfaJC3F613a8eCUKa9Fq,,2001-11-20
